No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
1,MASJID NEGARA,JALAN PERDANA,W.P. KUALA LUMPUR,ZON 3,032-6937784,03-26913696
2,MASJID PUTRA,"MASJID PUTRA, PERSIARAN PERDANA, PRESINT 1, 62502, PUTRAJAYA",W.P. PUTRAJAYA,WILAYAH PERSEKUTUAN PUTRAJAYA,03-88885678,03-88883166
3,MASJID SULTAN IDRIS SHAH II (MASJID NEGERI PERAK),"JALAN PANGLIMA BUKIT GANTANG WAHAB, 31650 IPOH, PERAK",PERAK,IPOH,135237989,
4,MASJID ABIDIN (KERAJAAN),"JALAN MASJID, KUALA TERENGGANU",TERENGGANU,KUALA TERENGGANU,09-6231771,09-6221690
5,MASJID NEGERI,JALAN DATO' HAMZAH,N. SEMBILAN,SEREMBAN,06-7639354,06-7672889
6,MASJID NEGERI SULTAN AHMAD 1,"KUALA KUANTAN1, 25000 KUANTAN.",PAHANG,BANDARAYA KUANTAN,09-5165818,
7,MASJID ZAHIR (MASJID NEGERI),"JALAN KAMPONG PERAK,05100 ALOR SETAR",KEDAH,KOTA SETAR,04-7333288,
8,MASJID JAMEK NEGERI SARAWAK,"JLN TUN ABD RAHMAN YAAKUB, 93050 PETRA JAYA",SARAWAK,KUCHING,082-440775,
9,MASJID WILAYAH PERSEKUTUAN,"JALAN TUANKU ABDUL HALIM(JALAN DUTA),50480 KUALA LUMPUR",W.P. KUALA LUMPUR,ZON 6,03-62018779,03-62018767
10,MASJID AL - AZIM MASJID NEGERI MELAKA,"BUKIT PALAH, 75400 MELAKA",MELAKA,MELAKA TENGAH,62841142,62860435
11,MASJID NEGERI ARAU,"02600, JALAN BESAR ARAU, PERLIS",PERLIS,ARAU,,
12,MASJID JAMEK AN- NUR,PETI SURAT 81981,W.P. LABUAN,WILAYAH PERSEKUTUAN LABUAN,087-414212,087-426212
13,MASJID MUHAMMADI,"DAERAH KOTA BHARU-BANDAR, 15000 KOTA BHARU, KELANTAN.",KELANTAN,KOTA BHARU,97446495,97446495
14,MASJID NEGERI PULAU PINANG,MASJID NEGERI PULAU PINANG JALAN MASJID NEGERI,PULAU PINANG,TIMUR LAUT,04-8282212,
15,MASJID SULTAN SALAHUDIN ABDUL AZIZ SHAH,PERSIARAN MASJID SHAH ALAM SELANGOR,SELANGOR,PETALING,03 55199988,03 55101317
16,MASJID SULTAN ABU BAKAR,JALAN GERTAK MERAH,JOHOR,JOHOR BAHRU,72281273,07-2282936
17,MASJID NEGERI SABAH KOTA KINABALU,"JALAN TUANKU ABDUL RAHMAN BULATAN SEMBULAN 88100, KOTA KINABALU",SABAH,PBS - KOTA KINABALU,088-222 435,
18,MASJID DAERAH KERIAN,"JALAN TAIPING, 34200 PARIT BUNTAR, PERAK",PERAK,PARIT BUNTAR,124174753,
19,MASJID RAJA NAZRIN SHAH,"HALA 8, KAMPUNG RAPAT JAYA TAMBAHAN, 31350 IPOH, PERAK",PERAK,IPOH,175968041,
20,MASJID DAERAH AL-RASHIDIAH (MASJID DAERAH),"PEKAN SELAMA 34100 SELAMA ,PERAK",PERAK,SELAMA,019-5505060,
21,MASJID DAERAH RIDZWANIAH,"JALAN TUN ABDUL RAZAK,33000 KUALA KANGSAR , PERAK",PERAK,KUALA KANGSAR,195585709,
22,MASJID DIRAJA UBUDIAH,"BUKIT CHANDAN,33000 KUALA KANGSAR, PERAK",PERAK,KUALA KANGSAR,172887023,
23,"MASJID HADHARI, BANDAR JERTEH (KERAJAAN)","LOT. 2229 & 2231 , BANDAR JERTEH, BESUT, TERENGGANU.",TERENGGANU,BESUT,96971169,09-6971169
24,MASJID KAMPUNG BUKIT PAYONG (KERAJAAN),"KG. BUKIT PAYONG,BESUT, TERENGGANU",TERENGGANU,BESUT,,
25,MASJID KAMPUNG GONG PASIR (KERAJAAN),"LOT. 4832, KAMPUNG GONG PASIRKERANDANG,22000 BESUT",TERENGGANU,BESUT,,
26,"MASJID DIRAJA SULTAN ALAEDDIN, KG BANDAR","JALAN ISTANA, KG. BANDAR, JUGRA, BANTING, KUALA LANGAT",SELANGOR,KUALA LANGAT,,
27,MASJID NASIRUDDIN SHAH (KERAJAAN),"PEKAN KG. RAJA, 22200 BESUT",TERENGGANU,BESUT,,
28,MASJID AJIL (KERAJAAN),"AJIL, HULU TERENGGANU",TERENGGANU,HULU TERENGGANU,0,0
29,MASJID HAJI ABDUL RAHMAN LIMBONG KUALA TELEMONG (K,KG. KUALA TELEMONG,TERENGGANU,HULU TERENGGANU,0,0
30,MASJID KAMPUNG SEKAYU (KERAJAAN),"KG. SEKAYU, TERSAT",TERENGGANU,HULU TERENGGANU,0,0
31,MASJID SULTAN MAHMUD KUALA BERANG (KERAJAAN),BANDAR KUALA BERANG HULU TERENGGANU,TERENGGANU,HULU TERENGGANU,0,0
32,MASJID KAMPUNG TENGKAWANG (KERAJAAN),"KG. TENGKAWANG, HULU TELEMONG",TERENGGANU,HULU TERENGGANU,0,0
33,MASJID SULTANAH NUR ZAHIRAH (KERAJAAN),"LOT. 2305, BANDAR MARANG,",TERENGGANU,MARANG,,
34,MASJID PEKAN BUKIT PAYONG (KERAJAAN),"PEKAN BUKIT PAYONG,21400 MARANG TERENGGANU",TERENGGANU,MARANG,,
35,MASJID MERCHANG (KERAJAAN),"KG. MERCHANG,",TERENGGANU,MARANG,,
36,MASJID PENGKALAN BERANGAN (KERAJAAN),KG.PENGKALAN BERANGAN,TERENGGANU,MARANG,,
37,MASJID PEKAN WAKAF TAPAI (KERAJAAN),PEKAN WAKAF TAPAI,TERENGGANU,MARANG,,
38,MASJID BANDAR BARU CENEH (KERAJAAN),"BANDAR BARU CHENEH,",TERENGGANU,KEMAMAN,609-8591262,09-8594257
39,MASJID JAMEK CUKAI (KERAJAAN),"CUKAI,",TERENGGANU,KEMAMAN,609-8591262,09-8594257
40,MASJID KEMASIK (KERAJAAN),"JALAN BESAR KAMPUNG BARU 24210 KEMASIK , TERENGGANU",TERENGGANU,KEMAMAN,609-8591262,09-8594257
41,MASJID JAMEK KERTEH (KERAJAAN),"KERTEH,",TERENGGANU,KEMAMAN,609-8591262,09-8594257
42,MASJID AS SYAKIRIN KUALA KEMAMAN (KERAJAAN),"KUALA KEMAMAN,",TERENGGANU,KEMAMAN,609-8591262,09-8594257
43,MASJID SULTAN AHMAD (KERAJAAN),"JALAN PENGHIBURAN , 24000 KEMAMAN,TERENGGANU DARUL IMAN",TERENGGANU,KEMAMAN,609-8591262,09-8594257
44,MASJID TENGKU MIZAN ZAINAL ABIDIN (KERAJAAN),"KERTEH,",TERENGGANU,KEMAMAN,609-8591262,09-8594257
45,MASJID TENGKU AMPUAN INTAN ZAHARAH,"DUNGUN,TERENGGANU.",TERENGGANU,DUNGUN,09-844 1942,
46,MASJID JAMEK PAKA (KERAJAAN),"PEKAN PAKA,",TERENGGANU,DUNGUN,,
47,MASJID SEBERANG PINTASAN (KERAJAAN),"KAMPUNG SEBERANG PINTASAN,",TERENGGANU,DUNGUN,,
48,MASJID SUNGAI UDANG (KERAJAAN),"KAMPUNG SUNGAI UDANG,",TERENGGANU,DUNGUN,,
49,MASJID SURA (KERAJAAN),KG SURA HUJUNG,TERENGGANU,DUNGUN,,
50,MASJID BANDAR PERMAISURI (KERAJAAN),"BANDAR PERMAISURI,SETIU",TERENGGANU,SETIU,,
51,MASJID KAMPUNG FIKRI (KERAJAAN),KG. FIKRI,TERENGGANU,SETIU,0,0
52,MASJID AR-RIDHWAN SUNGAI TONG (MASJID KERAJAAN),PEKAN SUNGAI TONG,TERENGGANU,SETIU,,
53,"MASJID AL- MUKTAFI BILLAH SHAH, LADANG (KERAJAAN)",KUALA TERENGGANU,TERENGGANU,KUALA TERENGGANU,09-6234453,
54,MASJID TENGKU NIK HAJI BATU BURUK (KERAJAAN),BATU BURUK,TERENGGANU,KUALA TERENGGANU,,
55,"MASJID AS-SALAM, KAMPUNG BATU RAKIT ( KERAJAAN)","KG. BATU RAKIT,KUALA TERENGGANU",TERENGGANU,KUALA NERUS,,00-00000
56,"MASJID AL-ABRAR, BUKIT TOK BENG (KERAJAAN)",KAMPUNG BUKIT TOK BENG,TERENGGANU,KUALA NERUS,,
57,"MASJID SULTAN ISMAIL, CHENDERING (KERAJAAN)","CENDERING,KUALA TERENGGANU.",TERENGGANU,KUALA TERENGGANU,,
58,"MASJID AT-TAQWA, DURIAN BURUNG (KERAJAAN)",DURIAN BURUNG,TERENGGANU,KUALA TERENGGANU,,
59,"MASJID AL-MUSTAQIM, KAMPUNG GEMURUH (KERAJAAN)",KG. GEMURUH,TERENGGANU,KUALA NERUS,,
60,"MASJID AR-RIDHA, MANIR (KERAJAAN )",KG. MANIR,TERENGGANU,KUALA TERENGGANU,,
61,MASJID KAMPUNG PENGADANG BARU (KERAJAAN),KG. PENGADANG BARU,TERENGGANU,KUALA TERENGGANU,,
62,MASJID SEBERANG TAKIR (KERAJAAN ),KG. SEBERANG TAKIR,TERENGGANU,KUALA NERUS,,
63,MASJID WAKAF TEMBESU (KERAJAAN),KG. WAKAF TEMBESU,TERENGGANU,KUALA NERUS,,
64,"MASJID AL-IKHLAS, BANGGOL TUAN MUDA (KERAJAAN)","KG. BANGGOL TUAN MUDA, MANIR, KUALA TERENGGANU",TERENGGANU,KUALA TERENGGANU,,
65,"MASJID TENGKU TENGAH ZAHARAH, (KERAJAAN)","KUALA IBAI, KUALA TERENGGANU.",TERENGGANU,KUALA TERENGGANU,,
66,MASJID JAMEK BANDAR SEREMBAN,JALAN TUN DR. ISMAIL,N. SEMBILAN,SEREMBAN,,
67,MASJID MAKMURIAH,"JALAN MASJID, PEKAN SUNGAI BESAR, 45300 SUNGAI BESAR",SELANGOR,SABAK BERNAM,013-2789078,03-3244995
68,"MASJID JAMEK AS SOLIHIN, KANCHONG DARAT","BATU 22 1/2 KANCHONG DARAT,42700 BANTING, KUALA LANGAT",SELANGOR,KUALA LANGAT,,
69,"MASJID JAMEK JAMAIYAH, MORIB","KG.MORIB, BANTING, KUALA LANGAT",SELANGOR,KUALA LANGAT,,
70,MASJID DATO'PENGHULU MENTERI SUNGEI UJONG KUARTERS,JIJAN,N. SEMBILAN,SEREMBAN,,
71,MASJID DATO' KLANA PETRA UNDANG LUAK SUNGEI UJONG,BANDAR PUTRA NILAI,N. SEMBILAN,SEREMBAN,,
72,MASJID JAMEK DATO' HAJI ABDULLAH SIJANG,"MASJID JAMEK DATO' HAJI ABDULLAH SIJANG (MASJID DAERAH) BT.1 JALAN PANTAI, 71000 PORT DICKSON",N. SEMBILAN,PORT DICKSON,66470341,
73,MASJID JAMEK AN-NUR REMBAU,71300 REMBAU,N. SEMBILAN,REMBAU,06-6853887,
74,"MASJID JAMEK, BANDAR TRIANG","28300 BANDAR TRIANG, TRIANG",PAHANG,BERA,,
75,MASJID JAMEK DAERAH CHENOR,"CHENOR 28100, CHENOR",PAHANG,MARAN,,
76,MASJID TENGKU AMPUAN AFZAN,"INDERA MAHKOTA, 25200 KUANTAN.",PAHANG,BANDARAYA KUANTAN,,
77,MASJID TUANKU MUHRIZ DAERAH JEMPOL,72120 BANDAR SERI JEMPOL,N. SEMBILAN,JEMPOL,016-4581626,
78,MASJID JAMEK TUNKU BESAR TAMPIN,73000 TAMPIN,N. SEMBILAN,TAMPIN,013-6232179,
